"DateTime","valvePos","Campbell","Aerodyne","LosGatos","AeroExcess_Avg"
2016-03-22 14:29:26,4,"Chm8","CAL1","Chm3",55.49
2016-03-22 14:31:27,4,"Chm8","CAL0","Chm3",-205.2
2016-03-22 14:31:29,4,"Chm8","N2ON","Chm3",79.36
2016-03-22 14:33:30,4,"Chm8","N2OF","Chm3",-210.3
2016-03-22 14:33:32,4,"Chm8","ABGD","Chm3",-208.6
2016-03-22 14:35:33,4,"Chm8","Chm8","Chm3",72.71
2016-03-22 14:37:44,4,"Chm1","Chm2","Chm3",-117
2016-03-22 14:39:45,4,"Chm8","Chm8","Chm3",-139.2
2016-03-22 14:41:46,4,"Chm1","Chm2","Chm3",-117.5
2016-03-22 14:43:47,4,"Chm8","Chm8","Chm3",-138.7
2016-03-22 14:45:48,4,"Chm1","Chm2","Chm3",-116.8
2016-03-22 14:47:49,4,"Chm8","ABGD","Chm4",109.7
2016-03-22 14:49:50,4,"Chm8","Chm8","Chm4",-142.9
2016-03-22 14:52:01,4,"Chm2","Chm3","Chm4",-115.1
2016-03-22 14:54:02,4,"Chm8","Chm8","Chm4",-139.6
2016-03-22 14:56:03,4,"Chm2","Chm3","Chm4",-115.6
2016-03-22 14:58:04,4,"Chm8","Chm8","Chm4",-139.6
2016-03-22 15:00:05,4,"Chm2","Chm3","Chm4",-114.6
2016-03-22 15:02:06,4,"Chm8","ABGD","Chm5",107.2
2016-03-22 15:04:08,4,"Chm8","Chm8","Chm5",-142.9
2016-03-22 15:06:19,4,"Chm3","Chm4","Chm5",-139.4
2016-03-22 15:08:20,4,"Chm8","Chm8","Chm5",-142.7
2016-03-22 15:10:21,4,"Chm3","Chm4","Chm5",-160.4
2016-03-22 15:12:22,4,"Chm8","Chm8","Chm5",-142.9
2016-03-22 15:14:23,4,"Chm3","Chm4","Chm5",-116.8
2016-03-22 15:16:24,4,"Chm8","CAL1","Chm6",39.29
2016-03-22 15:18:25,4,"Chm8","CAL0","Chm6",-205
2016-03-22 15:18:27,4,"Chm8","ABGD","Chm6",111.9
2016-03-22 15:20:28,4,"Chm8","Chm8","Chm6",-210.8
2016-03-22 15:22:39,4,"Chm4","Chm5","Chm6",-117.8
2016-03-22 15:24:40,4,"Chm8","Chm8","Chm6",-165.5
2016-03-22 15:26:41,4,"Chm4","Chm5","Chm6",-134.1
2016-03-22 15:28:42,4,"Chm8","Chm8","Chm6",-124
2016-03-22 15:30:43,4,"Chm4","Chm5","Chm6",-116.1
2016-03-22 15:32:44,4,"Chm8","ABGD","Chm7",111.9
2016-03-22 15:34:45,4,"Chm8","Chm8","Chm7",-142.4
2016-03-22 15:36:56,4,"Chm5","Chm6","Chm7",-148
2016-03-22 15:38:57,4,"Chm8","Chm8","Chm7",-117.5
2016-03-22 15:40:58,4,"Chm5","Chm6","Chm7",-171.3
2016-03-22 15:42:59,4,"Chm8","Chm8","Chm7",-175.9
2016-03-22 15:45:00,4,"Chm5","Chm6","Chm7",-117.8
2016-03-22 15:47:01,4,"Chm8","ABGD","Chm1",181.4
2016-03-22 15:49:02,4,"Chm8","Chm8","Chm1",-142.2
2016-03-22 15:51:14,4,"Chm6","Chm7","Chm1",-122.3
2016-03-22 15:53:15,4,"Chm8","Chm8","Chm1",-116.8
2016-03-22 15:55:18,4,"Chm6","Chm7","Chm1",57.66
2016-03-22 15:57:19,4,"Chm8","Chm8","Chm1",-147.5
2016-03-22 15:59:20,4,"Chm6","Chm7","Chm1",-159.7
2016-03-22 16:01:21,4,"Chm8","ABGD","Chm2",112.6
2016-03-22 16:03:22,4,"Chm8","Chm8","Chm2",-143.1
2016-03-22 16:05:33,4,"Chm7","Chm1","Chm2",57.18
2016-03-22 16:07:34,4,"Chm8","Chm8","Chm2",-139.2
2016-03-22 16:09:35,4,"Chm7","Chm1","Chm2",-108.5
2016-03-22 16:11:36,4,"Chm8","Chm8","Chm2",-139.9
2016-03-22 16:13:37,4,"Chm7","Chm1","Chm2",-107.8
2016-03-22 16:15:38,4,"Chm8","Chm8","Chm8",-140.3
2016-03-22 16:15:40,4,"Chm8","CAL1","Chm3",54.75
2016-03-22 16:17:41,4,"Chm8","CAL0","Chm3",-204.5
2016-03-22 16:17:43,4,"Chm8","N2ON","Chm3",80.1
2016-03-22 16:19:44,4,"Chm8","N2OF","Chm3",-210.8
2016-03-22 16:19:46,4,"Chm8","ABGD","Chm3",-209.4
2016-03-22 16:21:47,4,"Chm8","Chm8","Chm3",73.19
2016-03-22 16:23:58,4,"Chm1","Chm2","Chm3",-116.8
2016-03-22 16:25:59,4,"Chm8","Chm8","Chm3",-140.7
2016-03-22 16:28:00,4,"Chm1","Chm2","Chm3",-116.8
2016-03-22 16:30:01,4,"Chm8","Chm8","Chm3",-139.9
2016-03-22 16:32:02,4,"Chm1","Chm2","Chm3",-116.6
2016-03-22 16:34:03,4,"Chm8","ABGD","Chm4",131.7
2016-03-22 16:36:04,4,"Chm8","Chm8","Chm4",-142.8
2016-03-22 16:38:15,4,"Chm2","Chm3","Chm4",-115.4
2016-03-22 16:40:16,4,"Chm8","Chm8","Chm4",-140.3
